Kd,SSA,C%,H/C,O/C,E,S,A,B,V,log(Kd)
24.01433692,0.04,0.683574879,0.147232038,0.157832744,1.73,1.55,0.47,0.45,1.8088,1.380470599
37.98191337,0.04,0.6325811,0.1393534,0.220735786,1.73,1.55,0.47,0.45,1.8088,1.579576839
50.56376848,0.04,0.592296853,0.132170235,0.278086175,1.73,1.55,0.47,0.45,1.8088,1.703839434
103.5822708,0.04,0.444276349,0.094589482,0.578130912,1.73,1.55,0.47,0.45,1.8088,2.015285428
66.8801708,0.04,0.654810932,0.142938822,0.192109777,1.73,1.55,0.47,0.45,1.8088,1.825297374
44.37927664,0.04,0.597328244,0.133120341,0.270500532,1.73,1.55,0.47,0.45,1.8088,1.647180219
86.20492272,0.04,0.457241005,0.098853302,0.544088573,1.73,1.55,0.47,0.45,1.8088,1.935532067
42.1893921,0.04,0.388291247,0.072907553,0.751239428,1.73,1.55,0.47,0.45,1.8088,1.625203268
0.711522347,0.04,0.6325811,0.1393534,0.220735786,0.9,1.37,0.69,0.45,1.1313,-0.147811455
0.836483956,0.04,0.592296853,0.132170235,0.278086175,0.9,1.37,0.69,0.45,1.1313,-0.077542385
1.212304132,0.04,0.444276349,0.094589482,0.578130912,0.9,1.37,0.69,0.45,1.1313,0.083611585
1.127318621,0.04,0.597328244,0.133120341,0.270500532,0.9,1.37,0.69,0.45,1.1313,0.052046681
2.152928691,0.04,0.457241005,0.098853302,0.544088573,0.9,1.37,0.69,0.45,1.1313,0.333029645
2.752363332,0.04,0.388291247,0.072907553,0.751239428,0.9,1.37,0.69,0.45,1.1313,0.439705763
1166.666667,0.029,0.962,0.16,0.038986355,1.93,1.28,0,0.28,1.4544,3.06694679
206.8965517,0.037,0.8847,0.14,0.130378096,1.93,1.28,0,0.28,1.4544,2.315753252
280,0.036,0.866,0.14,0.154798762,1.93,1.28,0,0.28,1.4544,2.447158031
220,0.052,0.912,0.15,0.085543199,1.93,1.28,0,0.28,1.4544,2.342422681
528.5714286,0.056,0.8751,0.14,0.142653352,1.93,1.28,0,0.28,1.4544,2.723103684
633.3333333,0.053,0.87,0.14,0.149476831,1.93,1.28,0,0.28,1.4544,2.801632346
57.1,0.05,0.8571,0.1667,0,2.2,2.34,0.7,2.52,2.3047,1.756636108
51.5,0.0375,0.9231,0.0833,0,2.2,2.34,0.7,2.52,2.3047,1.711807229
41.5,0.06,0.384,0.125,0,2.2,2.34,0.7,2.52,2.3047,1.618048097
55.1,0.05,0.8571,0.1667,0,2.2,2.34,0.7,2.52,2.3047,1.741151599
96.5,0.04,0.6372,0.1528,0.2222,2.2,2.34,0.7,2.52,2.3047,1.984527313
9.71,0.05,0.8571,0.1667,0,1.89,2.5,0.21,1.69,2.1813,0.98721923
9.51,0.0375,0.9231,0.0833,0,1.89,2.5,0.21,1.69,2.1813,0.978180517
8.41,0.06,0.384,0.125,0,1.89,2.5,0.21,1.69,2.1813,0.924795996
8.38,0.05,0.8571,0.1667,0,1.89,2.5,0.21,1.69,2.1813,0.923244019
17.1,0.04,0.6372,0.1528,0.2222,1.89,2.5,0.21,1.69,2.1813,1.23299611
7.85,0.05,0.8571,0.1667,0,2.08,2.55,0.65,1.37,1.7225,0.894869657
7.39,0.0375,0.9231,0.0833,0,2.08,2.55,0.65,1.37,1.7225,0.868644438
6.61,0.06,0.384,0.125,0,2.08,2.55,0.65,1.37,1.7225,0.820201459
6.19,0.05,0.8571,0.1667,0,2.08,2.55,0.65,1.37,1.7225,0.791690649
7.36,0.04,0.6372,0.1528,0.2222,2.08,2.55,0.65,1.37,1.7225,0.866877814
356,0.04,0.6372,0.1528,0.2222,3.5,3.6,1.35,3.29,3.0992,2.551449998
133,3.1,0.849,0.21,0,0.85,1.14,0,0.27,0.8906,2.123851641
265,3.1,0.849,0.21,0,0.87,1.11,0,0.28,1.0315,2.423245874
72,3.1,0.849,0.21,0,1.15,1.6,0,0.47,1.0648,1.857332496
388,3.1,0.849,0.21,0,0.87,1.11,0,0.28,1.0315,2.588831726
223,3.1,0.849,0.21,0,1.15,1.58,0,0.49,1.2057,2.348304863
7711,3.1,0.849,0.21,0,1.18,0.92,0,0,1.206,3.887110703
300,3.1,0.849,0.21,0,1.28,1.63,0,0.42,1.1872,2.477121255
491,3.1,0.849,0.21,0,0.96,0.82,0.54,0.17,1.0199,2.691081492
855,3.1,0.849,0.21,0,1.34,0.92,0,0.2,1.0854,2.931966115
164,3.1,0.849,0.21,0,1.68,1.79,0,1.24,2.1452,2.214843848
55,3.1,0.849,0.21,0,2.21,2.11,0.83,1,1.5757,1.740362689
137,2.3,0.5507,0.2241,0,0.85,1.14,0,0.27,0.8906,2.136720567
296,2.3,0.5507,0.2241,0,0.87,1.11,0,0.28,1.0315,2.471291711
76,2.3,0.5507,0.2241,0,1.15,1.6,0,0.47,1.0648,1.880813592
325,2.3,0.5507,0.2241,0,0.87,1.11,0,0.28,1.0315,2.511883361
49490,2.3,0.5507,0.2241,0,1.18,0.92,0,0,1.206,4.694517454
300,2.3,0.5507,0.2241,0,1.28,1.63,0,0.42,1.1872,2.477121255
414,2.3,0.5507,0.2241,0,0.96,0.82,0.54,0.17,1.0199,2.617000341
2795,2.3,0.5507,0.2241,0,1.34,0.92,0,0.2,1.0854,3.446381812
84,2.3,0.5507,0.2241,0,1.68,1.79,0,1.24,2.1452,1.924279286
46,2.3,0.5507,0.2241,0,2.21,2.11,0.83,1,1.5757,1.662757832
25000,0.04,0.563,0.1627,0.5933,1.93,1.28,0,0.28,1.4544,4.397940009
121000,0.04,0.563,0.1627,0.5933,2.81,1.71,0,0.28,1.5846,5.08278537
714,0.04,0.563,0.1627,0.5933,1.6,1.59,0,0.29,1.2596,2.853698212
507,0.04,0.563,0.1627,0.5933,1.67,1.26,0.2,0.57,1.1852,2.705007959
68.8,0.04,0.563,0.1627,0.5933,1.22,1.29,0.17,1.01,1.6196,1.837588438
31800,0.04,0.622,0.1768,0.4534,1.93,1.28,0,0.28,1.4544,4.50242712
142000,0.04,0.622,0.1768,0.4534,2.81,1.71,0,0.28,1.5846,5.152288344
931,0.04,0.622,0.1768,0.4534,1.6,1.59,0,0.29,1.2596,2.968949681
518,0.04,0.622,0.1768,0.4534,1.67,1.26,0.2,0.57,1.1852,2.71432976
58.1,0.04,0.622,0.1768,0.4534,1.22,1.29,0.17,1.01,1.6196,1.764176132
1500,0.1,0.635,0.1444,0.4126,1.6,1.59,0,0.29,1.2596,3.176091259
1780,0.19,0.9,0.1156,0.0316,2.81,1.71,0,0.28,1.5846,3.250420002
95.3,0.19,0.9,0.1156,0.0316,1.6,1.59,0,0.29,1.2596,1.979092901
29.6,0.19,0.9,0.1156,0.0316,1.67,1.26,0.2,0.57,1.1852,1.471291711
17940,0.065934066,0.857142857,0.166666667,4.17E-07,2.47,1.73,0,0.53,1.6286,4.253822439
46.15384615,0.014094433,0.857142857,0.166666667,4.17E-07,1.42,2.18,0,0.63,2.0844,1.664207898
0.692,0.93,0.923076923,0.083333333,1.04E-07,1.83,1.8,0.34,1.11,2.2519,-0.159893906
9.97,0.864,0.625,0.066666667,0.533333333,0.92,1.08,0.67,0.21,0.8975,0.998695158
4.06,0.864,0.625,0.066666667,0.533333333,1.01,0.8,0.6,0.15,1.1423,0.608526034
30.37987271,0.042,0.384,0.125,4.17E-07,2.01,2.34,0.98,1.23,2.3946,1.48258595
15.56315221,0.042,0.384,0.125,4.17E-07,1.8,1.77,0.86,1.1,2.1988,1.192097565
17.9944175,0.042,0.384,0.125,4.17E-07,2.01,2.34,0.98,1.23,2.3946,1.255137793
90.22038567,0.042,0.384,0.125,4.17E-07,1.8,1.77,0.86,1.1,2.1988,1.955304679
129.0650407,0.042,0.384,0.125,4.17E-07,2.01,2.34,0.98,1.23,2.3946,2.110808623
59.3440302,0.042,0.384,0.125,4.17E-07,2.01,2.34,0.98,1.23,2.3946,1.773377037
39.80329079,0.042,0.384,0.125,4.17E-07,2.01,2.34,0.98,1.23,2.3946,1.599918979
1300,0.102298302,0.857142857,0.166666667,0.02,1.73,1.55,0.47,0.45,1.8088,3.113943352
1600,0.132135307,0.857142857,0.166666667,0.04,1.73,1.55,0.47,0.45,1.8088,3.204119983
4250,0.634249471,0.857142857,0.166666667,0.09,1.73,1.55,0.47,0.45,1.8088,3.62838893
65,0.086,0.857142857,0.166666667,4.17E-07,1.73,1.55,0.47,0.45,1.8088,1.812913357
41,0.086,0.857142857,0.166666667,4.17E-07,0.96,0.82,0.54,0.17,1.0199,1.612783857
23,0.086,0.857142857,0.166666667,4.17E-07,1.06,1.13,0.3,0.31,0.9386,1.361727836
48,0.448,0.384,0.125,4.17E-07,1.06,1.13,0.3,0.31,0.9386,1.681241237
4.305959528,0.2367,0.857142857,0.166666667,4.17E-07,1.8,1.77,0.86,1.1,2.1988,0.634069944
12.80710378,0.7183,0.923076923,0.083333333,0,1.8,1.77,0.86,1.1,2.1988,1.107450929
5.259310844,1.2041,0.857142857,0.166666667,0.05,1.8,1.77,0.86,1.1,2.1988,0.72092884
3.004166024,0.9041,0.384,0.125,0.4,1.8,1.77,0.86,1.1,2.1988,0.47772393
23.57059593,1.7407,0.923076923,0.083333333,0.1,1.8,1.77,0.86,1.1,2.1988,1.372370563
15.85451406,0.079,0.7028,0.111111111,0.42,3.5,3.6,1.35,3.29,3.0992,1.200152935
17.18474277,0.116,1,0.166666667,4.17E-07,3.5,3.6,1.35,3.29,3.0992,1.235143036
22.21604955,0.072,0.8998,0.166666667,0.09,3.5,3.6,1.35,3.29,3.0992,1.346666835
8.197787899,0.046,0.9287,0.125,0.08,3.5,3.6,1.35,3.29,3.0992,0.913696678
13.6466818,0.065,0.8725,0.125,0.014,3.5,3.6,1.35,3.29,3.0992,1.135027065
6916,0.033,0.857142857,0.166666667,4.17E-07,2.38,1.55,0,0.24,1.5846,3.839854985
1421,0.0061,0.857142857,0.166666667,4.17E-07,2.38,1.55,0,0.24,1.5846,3.152594078
830.2,0.033,0.857142857,0.166666667,4.17E-07,2.06,1.29,0,0.26,1.4544,2.919182729
289.9,0.0061,0.857142857,0.166666667,4.17E-07,2.06,1.29,0,0.26,1.4544,2.462248215
550,6.447,0.384,0.125,4.17E-07,1.47,1.46,0.67,0.48,0.8642,2.740362689
23.6,0.621,0.923076923,0.083333333,0.1,1.98,2.5,0.05,2.39,2.2724,1.372912003
5.2,0.265,0.857142857,0.166666667,4.17E-07,1.98,2.5,0.05,2.39,2.2724,0.716003344
3.7,0.0454,0.857142857,0.166666667,4.17E-07,3.5,3.6,1.35,3.0992,,0.568201724
13.7,0.2341,0.857142857,0.166666667,4.17E-07,2.2,2.34,0.7,2.52,2.3047,1.136720567
9000,2.088,0.857142857,0.166666667,4.17E-07,1.03,0.86,0,0,1.0836,3.954242509
23636,2.088,0.857142857,0.166666667,4.17E-07,0.99,1.72,0,0.6,2.2,4.373573981
31765,5.971,0.857142857,0.166666667,4.17E-07,1.33,0.92,0.06,0,1.3284,4.50194886
36000,5.971,0.857142857,0.166666667,4.17E-07,1.49,0.99,0,0,1.4508,4.556302501
43076,5.971,0.857142857,0.166666667,4.17E-07,0.99,1.72,0,0.6,2.2,4.634235368
60,0.68,0.857142857,0.166666667,0.1,1.48,2022,0,0.88,2.2737,1.77815125
94,0.625,0.923076923,0.083333333,0.05,1.48,2022,0,0.88,2.2737,1.973127854
22.94,0.068,0.857142857,0.166666667,0.1,1.48,2022,0,0.88,2.2737,1.360593414
43.6,0.0625,0.923076923,0.083333333,0.05,1.48,2022,0,0.88,2.2737,1.639486489
500,23.024,0.923076923,0.083333333,0.036,1.65,1.63,0,0.62,1.7391,2.698970004
236,2.573,0.923076923,0.083333333,0.036,1.65,1.63,0,0.62,1.7391,2.372912003
194.2,1.792,0.923076923,0.083333333,0.036,1.65,1.63,0,0.62,1.7391,2.288249226
194.3,2.866,0.857142857,0.166666667,4.17E-07,1.65,1.63,0,0.62,1.7391,2.288472801
220,3.333,0.857142857,0.166666667,4.17E-07,1.65,1.63,0,0.62,1.7391,2.342422681
48.3,2.964,0.857142857,0.166666667,0.03,1.22,1.29,0.17,1.011,1.6196,1.683947131
73.5,2.184,0.857142857,0.166666667,0.03,1.22,1.29,0.17,1.011,1.6196,1.866287339
1704,0.006,0.625,0.066666667,0.533333333,1.07,1.72,0.82,0.26,0.9493,3.23146959
1704,0.006,0.625,0.066666667,0.533333333,1.07,1.72,0.82,0.26,0.9493,3.23146959
3714,0.006,0.625,0.066666667,0.77037037,1.07,1.72,0.82,0.26,0.9493,3.569841899
3714,0.006,0.625,0.066666667,0.77037037,1.07,1.72,0.82,0.26,0.9493,3.569841899
38461,1.5,0.857142857,0.166666667,4.17E-07,1.73,1.55,0.47,0.45,1.8088,4.585020572
2511,1,0.384,0.125,4.17E-07,1.73,1.55,0.47,0.45,1.8088,3.399846713
29.64175716,2.272727273,0.857142857,0.166666667,4.17E-07,2.18,1.74,0,0.11,2.0586,1.471903945
22.7810379,2.272727273,0.857142857,0.166666667,4.17E-07,2.18,1.74,0,0.11,2.0586,1.357573507
18.61069269,2.272727273,0.857142857,0.166666667,4.17E-07,2.29,1.87,0,0.09,2.181,1.269762538
65.47857376,0.434782609,0.625,0.066666667,0.533333333,1.76,1.33,0,0.15,1.6914,1.816099211
46.16426188,0.434782609,0.625,0.066666667,0.533333333,2.04,1.61,0,0.13,1.9362,1.664305896
15.66049049,0.434782609,0.625,0.066666667,0.533333333,2.06,1.9,0,0.11,1.9362,1.19480536
4417.758621,0.031712474,0.857142857,0.166666667,4.17E-07,1.8,1.77,0.68,1.1,2.1988,3.645201983
3992.974138,0.021141649,0.857142857,0.166666667,4.17E-07,1.8,1.77,0.68,1.1,2.1988,3.601296497
2665.5125,0.0625,0.923076923,0.083333333,1.04E-07,1.8,1.77,0.68,1.1,2.1988,3.425780724
2470.475,0.03125,0.923076923,0.083333333,1.04E-07,1.8,1.77,0.68,1.1,2.1988,3.392780463
2080.4,0.020833333,0.923076923,0.083333333,1.04E-07,1.8,1.77,0.68,1.1,2.1988,3.318146845
1625.3125,0.0125,0.923076923,0.083333333,1.04E-07,1.8,1.77,0.68,1.1,2.1988,3.210936875
80.2,0.149596091,0.637168142,0.152777778,0.222222222,2.53,3.3,1.15,2.6,2.4399,1.904174368
160.1,0.0532,0.857142857,0.166666667,4.17E-07,3.5,3.6,1.35,3.29,3.0992,2.204391332
162.4,0.0481,0.857142857,0.166666667,0.03,3.5,3.6,1.35,3.29,3.0992,2.210586025
23.4,2.3,0.857142857,0.166666667,4.17E-07,1.54,1.45,0.24,1.44,2.4113,1.369215857
4,2.3,0.857142857,0.166666667,4.17E-07,2.59,2,0,2.3,2.9165,0.602059991
0.7,2.3,0.857142857,0.166666667,4.17E-07,1.25,1.32,0.18,0.98,1.4787,-0.15490196
13.5,2.3,0.857142857,0.166666667,4.17E-07,1.19,1.26,0.14,0.91,1.7605,1.130333768
1.4,2.3,0.857142857,0.166666667,4.17E-07,1.22,1.29,0.17,1.01,1.6196,0.146128036
17.8,2.3,0.857142857,0.166666667,4.17E-07,1.11,1.53,0,1.25,2.2811,1.250420002
25.8,1.96,0.857142857,0.166666667,4.17E-07,1.54,1.45,0.24,1.44,2.4113,1.411619706
10.2,1.96,0.857142857,0.166666667,4.17E-07,2.59,2,0,2.3,2.9165,1.008600172
1.3,1.96,0.857142857,0.166666667,4.17E-07,1.25,1.32,0.18,0.98,1.4787,0.113943352
23.5,1.96,0.857142857,0.166666667,4.17E-07,1.19,1.26,0.14,0.91,1.7605,1.371067862
3.4,1.96,0.857142857,0.166666667,4.17E-07,1.22,1.29,0.17,1.01,1.6196,0.531478917
14.9,1.96,0.857142857,0.166666667,4.17E-07,1.11,1.53,0,1.25,2.2811,1.173186268
40.1,2.08,0.857142857,0.166666667,4.17E-07,1.54,1.45,0.24,1.44,2.4113,1.603144373
7.8,2.08,0.857142857,0.166666667,4.17E-07,2.59,2,0,2.3,2.9165,0.892094603
1,2.08,0.857142857,0.166666667,4.17E-07,1.25,1.32,0.18,0.98,1.4787,0
22,2.08,0.857142857,0.166666667,4.17E-07,1.19,1.26,0.14,0.91,1.7605,1.342422681
2.6,2.08,0.857142857,0.166666667,4.17E-07,1.22,1.29,0.17,1.01,1.6196,0.414973348
27.5,2.08,0.857142857,0.166666667,4.17E-07,1.11,1.53,0,1.25,2.2811,1.439332694
24.7,1.95,0.857142857,0.166666667,4.17E-07,1.54,1.45,0.24,1.44,2.4113,1.392696953
1,1.95,0.857142857,0.166666667,4.17E-07,2.59,2,0,2.3,2.9165,0
0.6,1.95,0.857142857,0.166666667,4.17E-07,1.25,1.32,0.18,0.98,1.4787,-0.22184875
1.5,1.95,0.857142857,0.166666667,4.17E-07,1.22,1.29,0.17,1.01,1.6196,0.176091259
541,0.095389507,0.857142857,0.166666667,0.182598039,2.2,2.34,0.7,2.52,2.3047,2.733197265
670,0.071753169,0.637168142,0.152777778,0.244873469,2.2,2.34,0.7,2.52,2.3047,2.826074803
547,0.077220077,0.923076923,0.083333333,0.263,2.2,2.34,0.7,2.52,2.3047,2.737987326
398.16,0.056470588,0.857142857,0.166666667,0,2.34,1.77,0.46,0.35,1.6654,2.600057628
420.91,0.056470588,0.857142857,0.166666667,0,2.92,1.94,0.46,0.28,2.0154,2.624189244
534.88,0.3,0.637168142,0.152777778,0.222222222,2.08,2.36,0.78,1.24,2.3946,2.728256359
468,0.3,0.637168142,0.152777778,0.222222222,1.97,1.74,1.06,1.63,2.2575,2.670245853
365.6579551,1.22,0.5,0.111111111,1.1479,2.2,2.34,0.7,2.52,2.3047,2.563075026
443.9472445,3.24,0.5,1.111111111,1.5614,2.2,2.34,0.7,2.52,2.3047,2.647331365
99.83361065,1.24,0.384,0.125,0.2396,3.5,3.6,1.35,3.29,3.0992,1.999276778
167.5202732,2.3,0.384,0.125,0.2923,3.5,3.6,1.35,3.29,3.0992,2.224067373
2.382,6,0.708,0.278389831,0.134,2.13,2.53,0.59,1.53,2.0043,0.376941757
29.82,6,0.851,0.167097532,0.008,1.93,1.28,0,0.28,1.4544,1.474507639
31.87,6,0.756,0.248941799,0.074,1.93,1.28,0,0.28,1.4544,1.503382063
33.5,6,0.708,0.278389831,0.134,1.93,1.28,0,0.28,1.4544,1.525044807
23.36,6,0.851,0.167097532,0.008,1.34,0.92,0,0.2,1.0854,1.368472838
39.9,6,0.851,0.167097532,0.008,2.81,1.71,0,0.28,1.5846,1.600972896
44.75,6,0.756,0.248941799,0.074,2.81,1.71,0,0.28,1.5846,1.65079304
41.66666667,0.379,0.9625,0.166666667,0.0313,2.11,2.5,0.68,1.4,1.688,1.619788758
31.25,0.379,0.9625,0.166666667,0.0313,2.1,2.65,0.65,1.42,1.863,1.494850022
166.6666667,0.379,0.9625,0.166666667,0.0313,3.6,3.05,1.65,3.5,3.158,2.22184875
83.33333333,0.379,0.9625,0.166666667,0.0313,1.85,1.91,0.68,1.72,2.073,1.920818754
71.42857143,0.379,0.9625,0.166666667,0.0313,1.31,1.3,0.32,1.52,2.375,1.853871964
13.8,0.428,0.857142857,0.166666667,4.17E-07,1.61,1.56,0.99,0.91,1.8643,1.139879086
8,0.257,0.857142857,0.166666667,4.17E-07,1.61,1.56,0.99,0.91,1.8643,0.903089987
14.8,0.415,0.857142857,0.166666667,4.17E-07,1.61,1.56,0.99,0.91,1.8643,1.170261715
2.2,0.946,0.857142857,0.166666667,4.17E-07,1.61,1.56,0.99,0.91,1.8643,0.342422681
18.8,1.03,0.384,0.125,4.17E-07,1.61,1.56,0.99,0.91,1.8643,1.274157849
76287,0.54,0.637168142,0.152777778,0.222222222,1.61,1.56,0.99,0.91,1.8643,4.882450537
1.3,0.0164,0.6,0.133333333,32,1.61,1.56,0.99,0.91,1.8643,0.113943352
3.5,0.487,0.625,0.066666667,0.533333333,1.61,1.56,0.99,0.91,1.8643,0.544068044
915,0.951,0.591240876,0.111111111,0.49382716,1.61,1.56,0.99,0.91,1.8643,2.961421094
24.83797312,0.095226003,0.857142857,0.166666667,4.17E-07,3.5,3.6,1.35,3.29,3.1,1.395116153
21.40872692,0.092591164,0.857142857,0.166666667,0.2,3.5,3.6,1.35,3.29,3.1,1.330590843
40.24716273,0.080826884,0.558139535,0.125,1,3.5,3.6,1.35,3.29,3.1,1.60473527
33.37811305,0.067600787,0.923076923,0.083333333,0,3.5,3.6,1.35,3.29,3.1,1.523461781
27.14961872,0.104748603,0.857142857,0.166666667,4.17E-07,3.5,3.6,1.35,3.29,3.1,1.433763735
25.73150042,0.10185028,0.857142857,0.166666667,0.2,3.5,3.6,1.35,3.29,3.1,1.410465111
43.7432809,0.088174782,0.558139535,0.125,2,3.5,3.6,1.35,3.29,3.1,1.640911354
39.79936032,0.073746313,0.923076923,0.083333333,0.1,3.5,3.6,1.35,3.29,3.1,1.599876092
27.98588781,0.114271204,0.857142857,0.166666667,0.2,3.5,3.6,1.35,3.29,3.1,1.446939089
29.06279135,0.111109396,0.857142857,0.166666667,0.4,3.5,3.6,1.35,3.29,3.1,1.463337324
3.622,0.227272727,0.857142857,0.166666667,4.17E-07,2,1.45,0.45,1,1.3613,0.558948446
2.638,0.227272727,0.857142857,0.166666667,4.17E-07,0.74,1.17,0.45,1.22,1.4788,0.421274791
512.978,0.227272727,0.857142857,0.166666667,4.17E-07,1.87,1.17,0.18,0.97,1.9948,2.71009874
1350,4.347826087,0.384,0.125,4.17E-07,1.73,1.55,0.47,0.45,1.8088,3.130333768
1050,0.058754407,0.384,0.125,4.17E-07,1.73,1.55,0.47,0.45,1.8088,3.021189299
4.252,0.401,0.857142857,0.166666667,4.17E-07,1.22,1.29,0.17,1.01,1.6196,0.628593256
2.878,0.142,0.857142857,0.166666667,4.17E-07,1.22,1.29,0.17,1.01,1.6196,0.45909079
3.213,0.317,0.857142857,0.166666667,4.17E-07,1.22,1.29,0.17,1.01,1.6196,0.506910726
0.314,0.268,0.384,0.125,4.17E-07,1.22,1.29,0.17,1.01,1.6196,-0.503070352
0.5,0.29,0.384,0.125,4.17E-07,1.22,1.29,0.17,1.01,1.6196,-0.301029996
0.19,0.332,0.384,0.125,4.17E-07,1.22,1.29,0.17,1.01,1.6196,-0.721246399
4800,2.088,0.857142857,0.166666667,4.17E-07,1.34,0.92,0,0.2,1.0854,3.681241237
7701.711491,0.66,0.857142857,0.166666667,4.17E-07,1.34,0.92,0,0.2,1.0854,3.886587246
9933.333333,5.791,0.857142857,0.166666667,4.17E-07,1.34,0.92,0,0.2,1.0854,3.997095009
2553.191489,0.248,0.857142857,0.166666667,4.17E-07,1.34,0.92,0,0.2,1.0854,3.407083388
8134.615385,0.164,0.625,0.066666667,0.533333333,1.34,0.92,0,0.2,1.0854,3.910337024
3130.434783,0.15,0.857142857,0.166666667,2.78E-07,1.34,0.92,0,0.2,1.0854,3.49560466
407.5471698,0.094,0.5,0.111111111,0.888888889,1.34,0.92,0,0.2,1.0854,2.610177882
4048.192771,2.088,0.857142857,0.166666667,4.17E-07,1.5,1.06,0,0.25,1.3565,3.607261185
10729.41176,0.66,0.857142857,0.166666667,4.17E-07,1.5,1.06,0,0.25,1.3565,4.030575912
2074.074074,0.248,0.857142857,0.166666667,4.17E-07,1.5,1.06,0,0.25,1.3565,3.316824263
8520,0.164,0.625,0.066666667,0.533333333,1.5,1.06,0,0.25,1.3565,3.930439595
3816,0.15,0.857142857,0.166666667,2.78E-07,1.5,1.06,0,0.25,1.3565,3.581608366
589.2857143,0.094,0.5,0.111111111,0.888888889,1.5,1.06,0,0.25,1.3565,2.770325913
12480,0.66,0.857142857,0.166666667,4.17E-07,2.38,1.55,0,0.24,1.5846,4.096214585
14563.63636,5.791,0.857142857,0.166666667,4.17E-07,2.38,1.55,0,0.24,1.5846,4.163269826
9066.666667,0.248,0.857142857,0.166666667,4.17E-07,2.38,1.55,0,0.24,1.5846,3.957447649
15333.33333,0.164,0.625,0.066666667,0.533333333,2.38,1.55,0,0.24,1.5846,4.185636577
4857.142857,0.15,0.857142857,0.166666667,2.78E-07,2.38,1.55,0,0.24,1.5846,3.686380877
